Recipe;Position;Filter;Preparation;Weight;Grinder;Grind;Water;Type of Water;Temperature
Georgina Lumb;Upright;Paper;Rinsed;20;Mahlkoenig EK43;6;210;Filtered;86
Rafael Straus;Upright;Paper;Rinsed;16.5;Mahlkoenig EK43;9;240;Filtered;80
Emiel Rymenans;Inverted;Rinsed double paper and metal filter;Rinsed;30;Mahlkoenig EK43;7;240;Filtered;85
Hugo Sousa Rocco;Inverted;Paper;Rinsed;26.5;Porlex Hand Grinder;6;200;Tap;82
Jill Hoff;Upright;Paper;Rinsed;17;Mahlkoenig EK43;5;230;Bottled;88
Yifan Xu;Inverted;Paper;Rinsed;20;Fuji R220;5;230;Bottled;85
Juan Sebastian Hernandez;Inverted;Paper;FALSE;20;Ditting KR804;5;235;Bottled;85
Radek Skopal;Upright;Paper;Triple Paper Filters;17.5;Mahlkoenig EK43;5;240;Filtered;87
Tania Arnfjord;Inverted;Metal;Kaffeologie S Filter;19;Wilfa WSCG-2;5;250;Filtered;93
John Cesar Romo Quilla;Upright;Paper;Rinsed;15;Bunn G2;3;220;Bottled;85
Matt Randell;Inverted;Paper ;Rinsed;26;Mahlkoenig EK43;5;210;Filtered;98
Jussi Laitinen ;Inverted;Paper ;Rinsed;18.5;Mahlkoenig Vario;3;245;Tap;82
Jerome Dittmar;Upright;Paper;Rinsed;20;Mahlkoenig EK43;7;230;Filtered;80
Chloe Nattrass;Upright;Paper ;Rinsed;23;Mahlkoenig EK43;6;225;Bottled;96
Vaios Kandilas;Inverted;Paper ;Rinsed;20;Mahlkoenig EK43;7;230;Filtered;86
Hikaru Ono;Upright;Paper;Double Paper;16;Mahlkoenig Tanzania;6;240;Filtered;86
Levante Akocs;Upright;Paper;FALSE;17.5;Mahlkoenig Vario;5;238;Bottled;86
Prawira Adhiguna;Inverted;Metal;Kohi Labs;30;Mahlkoenig EK43;7;200;Filtered;85
Javad Rastegari;Upright;Paper;FALSE;30;Fama CS 230;1;240;Filtered;75
Gary Hollywood;Upright;Paper;Rinsed Double Filter;21;Mahlkoenig Tanzania;4;220;Bottled;88
Matteo Beluffi;Inverted;Paper;FALSE;30;Mahlkoenig Vario;4;240;Bottled;98
Takayuki Miyazaki;Inverted;Paper;Rinsed;18;Kalita Nice Cut Mill;4;240;Bottled;90
Donatas Krusna;Inverted;Paper;Double Paper;25;Mahlkoenig EK43;5;240;Bottled;92
Tan Hock Long;Inverted;Paper;Double Paper;20;Mahlkoenig EK43;1;240;Filtered;96
Eduardo Samano Miranda;Inverted;Paper;Paper and Metal;23.5;Commandante Hand Grinder;6;255;Bottled;90
Edward Beumer;Inverted;Paper;FALSE;30;Mahlkoenig EK43;9;120;Bottled;85
Woo Hyung Lee;Inverted;Paper;FALSE;30;Mahlkoenig EK43;8;230;Bottled;80
Nathan Reid;Upright;Paper;Rinsed;15;Mahlkoenig EK43;4;250;Tap;85
Magnus Lindskog;Inverted;Other;Rinsed;20;Mahlkoenig EK43;6;250;Bottled;90
Daniel Roque;Inverted;Paper;Rinsed;28.5;Baratza Encore;6;250;Filtered;83
Filip Kucharczyk;Inverted;Paper;Rinsed;25;Commandante Hand Grinder;9;250;Bottled;82
Lazar Alexandru Gabriel;Inverted;Paper;Rinsed;18;Mahlkoenig EK43;6;240;Filtered;80
Dmitry Maurin;Upright;Paper;Rinsed;23;Mahlkoenig EK43;9;250;Filtered;70
Mohammed Alghamdi;Inverted;Metal;Able Disk Filter;15;Zassenhaus Panama;7;225;Bottled;85
James Aitken;Inverted;Paper;Rinsed;30;Knock Hausgrind Hand Grinder;9;250;Tap;95
Siraj Salim;Inverted;Paper;FALSE;18;Porlex Hand Grinder;1;252;Filtered;85
Matus Gajdos;Inverted;Paper;FALSE;20;Mahlkoenig EK43;9;240;Filtered;80
Winston Thomas;Inverted;Paper;Rinsed;19;Baratza Virtuoso;3;220;Filtered;87
Lee Jonghwa;Upright;Other;Double Paper / Double Metal;27;Commandante Hand Grinder;2;230;Bottled;95
Carlos Rodrigo Zavala Hyde;Inverted;Paper;FALSE;30;Mahlkoenig EK43;4;260;Bottled;79
Klas Rehn;Inverted;Paper;Rinsed;28;Mahlkoenig EK43;8;235;Filtered;85
Felix Hohlmann;Inverted;Paper;3 Papers;25;Mahlkoenig EK43;7;200;Filtered;94
Alex Lu;Inverted;Metal;Able Disk Filter;18.5;Kalita Next-G;5;220;Filtered;80
Songkran Photipanya;Inverted;Paper;FALSE;18;Dienes Mokka Hand Grinder;5;220;Bottled;90
Baris Iscan;Inverted;Paper;Rinsed;30;Mahlkoenig EK43;9;230;Filtered;82
Grant Studer;Inverted;Paper;Rinsed;15.5;Hario Mini Slim Hand Grinder;7;240;Filtered;90
Lyaschuk Vitaliy;Upright;Paper;Double Paper;23.5;Compak V8;5;260;Filtered;74
Ben Jones;Upright;Paper;Rinsed;26;Compak K8;8;250;Filtered;96
Daniel Valdivieso;Upright;Paper;Rinsed;20;Compak K8;5;210;Filtered;85
Theo Garcia;Inverted;Paper;Rinsed;16.5;Mahlkoenig EK43;4;220;Filtered;92